transfer_id,club_name,player_name,age,position,transfer_fee(millions),year,season
370,Crystal Palace,Jean-Philippe Mateta,23.0,Centre-Forward,3.5,2020,2020/2021
371,Liverpool ,Ben Davies,25.0,Centre-Back,1.85,2020,2020/2021
372,Liverpool ,Ozan Kabak,20.0,Centre-Back,1.1,2020,2020/2021
373,Manchester City,Filip Stevanovic,18.0,Left Winger,8.5,2020,2020/2021
374,Manchester City,Diego Rosa,18.0,Central Midfield,6.0,2020,2020/2021
375,Manchester United,Amad Diallo,18.0,Right Winger,21.3,2020,2020/2021
376,West Bromwich Albion,Mbaye Diagne,29.0,Centre-Forward,1.58,2020,2020/2021
377,West Bromwich Albion,Robert Snodgrass,33.0,Right Winger,0.11,2020,2020/2021
378,West Bromwich Albion,Andy Lonergan,37.0,Goalkeeper,0.0,2020,2020/2021
379,West Ham United,Saïd Benrahma,25.0,Left Winger,23.1,2020,2020/2021
380,West Ham United,Jesse Lingard,28.0,Attacking Midfield,2.3,2020,2020/2021
381,West Ham United,Frederik Alves,21.0,Centre-Back,1.6,2020,2020/2021
382,Wolverhampton Wanderers,Willian José,29.0,Centre-Forward,3.0,2020,2020/2021
383,Arsenal ,Ben White,23.0,Centre-Back,58.5,2021,2021/2022
384,Arsenal ,Martin Ødegaard,22.0,Attacking Midfield,35.0,2021,2021/2022
385,Arsenal ,Aaron Ramsdale,23.0,Goalkeeper,28.0,2021,2021/2022
386,Arsenal ,Takehiro Tomiyasu,22.0,Right-Back,18.6,2021,2021/2022
387,Arsenal ,Albert Sambi Lokonga,21.0,Central Midfield,17.5,2021,2021/2022
388,Arsenal ,Nuno Tavares,21.0,Left-Back,8.0,2021,2021/2022
389,Aston Villa,Emiliano Buendía,24.0,Right Winger,38.4,2021,2021/2022
390,Aston Villa,Leon Bailey,23.0,Left Winger,32.0,2021,2021/2022
391,Aston Villa,Danny Ings,29.0,Centre-Forward,29.42,2021,2021/2022
392,Aston Villa,Ashley Young,35.0,Left-Back,0.0,2021,2021/2022
393,Brentford ,Kristoffer Ajer,23.0,Centre-Back,15.7,2021,2021/2022
394,Brentford ,Yoane Wissa,24.0,Left Winger,10.0,2021,2021/2022
395,Brentford ,Frank Onyeka,23.0,Central Midfield,10.0,2021,2021/2022
396,Brentford ,Álvaro Fernández,23.0,Goalkeeper,1.0,2021,2021/2022
397,Brighton & Hove Albion,Enock Mwepu,23.0,Central Midfield,23.0,2021,2021/2022
398,Brighton & Hove Albion,Marc Cucurella,23.0,Left-Back,18.0,2021,2021/2022
399,Brighton & Hove Albion,Abdallah Sima,20.0,Right Winger,8.0,2021,2021/2022
400,Brighton & Hove Albion,Kjell Scherpen,21.0,Goalkeeper,5.0,2021,2021/2022
401,Brighton & Hove Albion,Kaoru Mitoma,24.0,Left Winger,3.0,2021,2021/2022
402,Burnley ,Maxwel Cornet,24.0,Left Winger,15.0,2021,2021/2022
403,Burnley ,Nathan Collins,20.0,Centre-Back,14.0,2021,2021/2022
404,Burnley ,Connor Roberts,25.0,Right-Back,2.9,2021,2021/2022
405,Burnley ,Aaron Lennon,34.0,Right Winger,0.0,2021,2021/2022
406,Burnley ,Wayne Hennessey,34.0,Goalkeeper,0.0,2021,2021/2022
407,Chelsea ,Romelu Lukaku,28.0,Centre-Forward,113.0,2021,2021/2022
408,Chelsea ,Saúl Ñíguez,26.0,Central Midfield,5.0,2021,2021/2022
409,Chelsea ,Marcus Bettinelli,29.0,Goalkeeper,0.0,2021,2021/2022
410,Crystal Palace,Marc Guéhi,21.0,Centre-Back,23.34,2021,2021/2022
411,Crystal Palace,Joachim Andersen,25.0,Centre-Back,17.5,2021,2021/2022
412,Crystal Palace,Odsonne Edouard,23.0,Centre-Forward,16.3,2021,2021/2022
413,Crystal Palace,Michael Olise,19.0,Right Winger,9.3,2021,2021/2022
414,Crystal Palace,Will Hughes,26.0,Central Midfield,7.0,2021,2021/2022
415,Crystal Palace,Jacob Montes,22.0,Attacking Midfield,0.0,2021,2021/2022
416,Crystal Palace,Remi Matthews,27.0,Goalkeeper,0.0,2021,2021/2022
417,Everton ,Demarai Gray,25.0,Left Winger,2.0,2021,2021/2022
418,Everton ,Salomón Rondón,31.0,Centre-Forward,0.0,2021,2021/2022
419,Everton ,Andy Lonergan,37.0,Goalkeeper,0.0,2021,2021/2022
420,Everton ,Andros Townsend,30.0,Right Winger,0.0,2021,2021/2022
421,Everton ,Asmir Begovic,34.0,Goalkeeper,0.0,2021,2021/2022
422,Leeds United,Daniel James,23.0,Right Winger,29.1,2021,2021/2022
423,Leeds United,Junior Firpo,24.0,Left-Back,15.0,2021,2021/2022
424,Leeds United,Jack Harrison,24.0,Left Winger,12.8,2021,2021/2022
425,Leeds United,Kristoffer Klaesson,20.0,Goalkeeper,2.0,2021,2021/2022
426,Leicester City,Patson Daka,22.0,Centre-Forward,30.0,2021,2021/2022
427,Leicester City,Boubakary Soumaré,22.0,Defensive Midfield,20.0,2021,2021/2022
428,Leicester City,Jannik Vestergaard,29.0,Centre-Back,17.6,2021,2021/2022
429,Leicester City,Ryan Bertrand,31.0,Left-Back,0.0,2021,2021/2022
430,Liverpool ,Ibrahima Konaté,22.0,Centre-Back,40.0,2021,2021/2022
431,Manchester City,Jack Grealish,25.0,Left Winger,117.5,2021,2021/2022
432,Manchester City,Scott Carson,35.0,Goalkeeper,0.0,2021,2021/2022
433,Manchester United,Jadon Sancho,21.0,Left Winger,85.0,2021,2021/2022
434,Manchester United,Raphaël Varane,28.0,Centre-Back,40.0,2021,2021/2022
435,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,15.0,2021,2021/2022
436,Manchester United,Tom Heaton,35.0,Goalkeeper,0.0,2021,2021/2022
437,Newcastle United,Joe Willock,21.0,Central Midfield,29.4,2021,2021/2022
438,Norwich City,Christos Tzolis,19.0,Left Winger,11.0,2021,2021/2022
439,Norwich City,Milot Rashica,25.0,Right Winger,11.0,2021,2021/2022
440,Norwich City,Josh Sargent,21.0,Centre-Forward,9.5,2021,2021/2022
441,Norwich City,Ben Gibson,28.0,Centre-Back,9.3,2021,2021/2022
442,Norwich City,Dimitrios Giannoulis,25.0,Left-Back,7.5,2021,2021/2022
443,Norwich City,Angus Gunn,25.0,Goalkeeper,5.85,2021,2021/2022
444,Norwich City,Ozan Kabak,21.0,Centre-Back,4.0,2021,2021/2022
445,Norwich City,Pierre Lees-Melou,28.0,Central Midfield,3.9,2021,2021/2022
446,Norwich City,Mathias Normann,25.0,Defensive Midfield,2.0,2021,2021/2022
447,Southampton ,Adam Armstrong,24.0,Centre-Forward,17.7,2021,2021/2022
448,Southampton ,Romain Perraud,23.0,Left-Back,12.0,2021,2021/2022
449,Southampton ,Lyanco,24.0,Centre-Back,7.5,2021,2021/2022
450,Southampton ,Tino Livramento,18.0,Right-Back,5.9,2021,2021/2022
451,Southampton ,Theo Walcott,32.0,Right Winger,0.0,2021,2021/2022
452,Tottenham Hotspur,Emerson Royal,22.0,Right-Back,25.0,2021,2021/2022
453,Tottenham Hotspur,Bryan Gil,20.0,Left Winger,25.0,2021,2021/2022
454,Tottenham Hotspur,Pape Matar Sarr,18.0,Central Midfield,16.9,2021,2021/2022
455,Watford ,Imrân Louza,22.0,Central Midfield,10.0,2021,2021/2022
456,Watford ,Emmanuel Dennis,23.0,Centre-Forward,4.0,2021,2021/2022
457,Watford ,Moussa Sissoko,32.0,Central Midfield,3.5,2021,2021/2022
458,Watford ,Ozan Tufan,26.0,Central Midfield,1.0,2021,2021/2022
459,Watford ,Mattie Pollock,19.0,Centre-Back,0.3,2021,2021/2022
460,Watford ,Ashley Fletcher,25.0,Centre-Forward,0.0,2021,2021/2022
461,Watford ,Joshua King,29.0,Centre-Forward,0.0,2021,2021/2022
462,Watford ,Danny Rose,30.0,Left-Back,0.0,2021,2021/2022
463,Watford ,Kwadwo Baah,18.0,Left Winger,0.0,2021,2021/2022
464,West Ham United,Kurt Zouma,26.0,Centre-Back,35.0,2021,2021/2022
465,West Ham United,Nikola Vlasic,23.0,Attacking Midfield,30.0,2021,2021/2022
466,West Ham United,Alex Kral,23.0,Defensive Midfield,5.2,2021,2021/2022
467,West Ham United,Craig Dawson,31.0,Centre-Back,2.3,2021,2021/2022
468,West Ham United,Alphonse Areola,28.0,Goalkeeper,2.0,2021,2021/2022
469,Wolverhampton Wanderers,Rayan Aït-Nouri,20.0,Left-Back,11.1,2021,2021/2022
470,Wolverhampton Wanderers,José Sá,28.0,Goalkeeper,8.0,2021,2021/2022
471,Wolverhampton Wanderers,Francisco Trincão,21.0,Right Winger,6.0,2021,2021/2022
472,Wolverhampton Wanderers,Yerson Mosquera,20.0,Centre-Back,5.2,2021,2021/2022
473,Wolverhampton Wanderers,Bendegúz Bolla,21.0,Right-Back,2.0,2021,2021/2022
474,Wolverhampton Wanderers,Louie Moulden,19.0,Goalkeeper,0.0,2021,2021/2022
475,Arsenal ,Auston Trusty,23.0,Centre-Back,1.82,2021,2021/2022
476,Aston Villa,Lucas Digne,28.0,Left-Back,30.0,2021,2021/2022
477,Aston Villa,Calum Chambers,27.0,Centre-Back,0.0,2021,2021/2022
478,Brighton & Hove Albion,Kacper Kozlowski,18.0,Central Midfield,11.0,2021,2021/2022
479,Brighton & Hove Albion,Deniz Undav,25.0,Centre-Forward,7.0,2021,2021/2022
480,Burnley ,Wout Weghorst,29.0,Centre-Forward,17.5,2021,2021/2022
481,Crystal Palace,Jean-Philippe Mateta,24.0,Centre-Forward,11.0,2021,2021/2022
482,Crystal Palace,Luke Plange,19.0,Centre-Forward,1.18,2021,2021/2022
483,Everton ,Vitaliy Mykolenko,22.0,Left-Back,23.5,2021,2021/2022
484,Everton ,Nathan Patterson,20.0,Right-Back,14.0,2021,2021/2022
485,Everton ,Dele Alli,25.0,Attacking Midfield,0.0,2021,2021/2022
486,Liverpool ,Luis Díaz,25.0,Left Winger,47.0,2021,2021/2022
487,Manchester City,Julián Álvarez,22.0,Centre-Forward,17.0,2021,2021/2022
488,Newcastle United,Bruno Guimarães,24.0,Defensive Midfield,42.1,2021,2021/2022
489,Newcastle United,Kieran Trippier,31.0,Right-Back,30.0,2021,2021/2022
490,Newcastle United,Chris Wood,30.0,Centre-Forward,30.0,2021,2021/2022
491,Newcastle United,Dan Burn,29.0,Centre-Back,15.0,2021,2021/2022
492,Tottenham Hotspur,Rodrigo Bentancur,24.0,Central Midfield,19.0,2021,2021/2022
493,Tottenham Hotspur,Dejan Kulusevski,21.0,Right Winger,10.0,2021,2021/2022
494,Watford ,Maduka Okoye,22.0,Goalkeeper,5.0,2021,2021/2022
495,Watford ,Samir,27.0,Centre-Back,5.0,2021,2021/2022
496,Watford ,Edo Kayembe,23.0,Defensive Midfield,4.7,2021,2021/2022
497,Watford ,Hassane Kamara,27.0,Left-Back,4.0,2021,2021/2022
498,Watford ,Yaser Asprilla,18.0,Attacking Midfield,3.0,2021,2021/2022
499,Watford ,Samuel Kalu,24.0,Right Winger,3.0,2021,2021/2022
500,Wolverhampton Wanderers,Chiquinho,21.0,Left Winger,3.5,2021,2021/2022
501,Wolverhampton Wanderers,Sang-bin Jeong,19.0,Right Winger,1.2,2021,2021/2022
502,Wolverhampton Wanderers,Hayao Kawabe,26.0,Central Midfield,0.6,2021,2021/2022
